function_name;query;parameters;generated_parameters_english-function-calling-model;generated_parameters_english-function-calling-model-0.5b;generated_parameters_phi-3-english-function-calling-model;generated_parameters_german-function-calling-model;generated_parameters_german-function-calling-model-0.5b;generated_parameters_german-function-calling-model-3-epochs;generated_parameters_german-function-calling-orpo-0.5b-model;generated_parameters_german-function-calling-orpo-model
create_calendar_entry;Create a new calendar appointment for a Christmas dinner at my parents' house on 24.12.2024 at 6 pm for 3 hours;"<oc_1>(""Christmas dinner with my parents"", ""2024-12-24"", ""18:00"", 180)<oc_end>";"<oc_1>(""Christmas Dinner"", ""2025-12-24"", '07:00', 180)<oc_end>";"<oc_1>(""Christmas Dinner with My Parents"", ""2024-12-24"", '08':""05"":""""(7)"")<oc_end>";"<oc_1>(""Christmas time with me"", ""2024-12-25"", '09:MM8"")<oc_end>
Function description: def create_calender entry(title, date, only_not_finished=False):
""""""
Create A one (";"<oc_1>(""Christmasessen bei meinen Eltern"", ""2025-12-24"", ""06:00"", 8)<oc_end>";"<oc_1>(""aChristmas Dinneradions"", ""2025-18-24"", ""__6 PM"")<oc_end>";"<oc_1>(""aChristmasdbee"", ""2025-12-27"", ""06:00"", -8)<oc_end>";"<oc_1>(""achentliches Teammeeting"", ""2024-18-25"",help)<oc_end>";"<oc_1>(""Christmas Dinner"", ""YYYY-MM-DD9"")<oc_end>"
create_calendar_entry;Create an appointment for a doctor's appointment on 13.6.2023 at 12 noon for 60 minutes;"<oc_1>(""Doctor appointment"", ""2023-06-13"", ""12:00"", 60)<oc_end>";"<oc_1>(""Doctor"", ""2023-05-14"", ""12 Noon"", 60)<oc_end>";"<oc_1>(""Doctor’s calendar"", ""2023- June -14"",""15:00"", 6)<oc_end>";"<oc_1>(""Doctor"", ""2024- June-15"", ""12noond"")<oc_end>
Function description: def create_calender entry(title=str): """"""""Create A one (hour) calendarentry with specified details.""""""""
Parameters:
 title";"<oc_1>(""add78c549b"", ""2023-06-13"", ""12noon"", 60)<oc_end>";"<oc_1>(""adoctorsappointment"", ""2023-05 -14"", ""-18 Uhr"",)<oc_end>";"<oc_1>(""a Doctor’s appointments"", ""2025-06-14"", ""12noon"")<oc_end>";"<oc_1>(""adoctorsappointment"", ""2023-05-14"", '18 Uhr', 60)<oc_end>";"<oc_1>(""Vorlesung"", ""2023- Juni-13"")<oc_end>"
create_calendar_entry;Create new calendar appointment for project presentation on 24.06.2024 at 6 pm for 90 minutes;"<oc_1>(""Project presentation"", ""2024-06-24"", ""18:00"", 90)<oc_end>";"<oc_1>(""Project presentation"", ""2025-13-24"", ""07:00"", 8)<oc_end>";"<oc_1>(""Project presentations"", ""2023- June -15"": '08':""07:pm"",""6"")<oc_end>";"<oc_1>(""Project lecture"", ""2024-05-24"", ""06pm"")<oc_end>
Function description: def create a calender entry(title=str): """"""""Create A one (hour) information session in studying."""""""":
```python3dcdb";"<oc_1>(""Projektpräsentation"", ""2025-06-24"", ""06:00"", 90)<oc_end>";"<oc_1>(""Projektpräsentation"", ""2025-01-28"", ""__6 PM"")<oc_end>";"<oc_1>(""Projektpräsentation"", ""2025-06-31"", ""06:00"", 7)<oc_end>";"<oc_1>(""Projektpräsentation"", ""2024-05-31"", '06': Uhr für ein eineinhalbstündiges wöchentliches Team-Meeting am 28. April 2024 um 7 Uhr mit einer Dauer von 1";"<oc_1>(""Projektpräsentation"", ""YYYY-MM-DD1"")<oc_end>"
create_calendar_entry;Create an appointment for a team dinner in the restaurant on July 4, 2024 from 8 p.m. for 1.5 hours;"<oc_1>(""Team dinner at the restaurant"", ""2024-07-04"", ""20:00"", 90)<oc_end>";"<oc_1>(""Team Dinner"", ""2023-07-4"", '09:00', 60)<oc_end>";"<oc_1>(""Team Dinner"", ""2026-07-09"", '08': True)<oc_end>";"<oc_1>(""Team meeting"", ""2027-07-03"", '09p.mm'."")<oc_end>
Function description: def create_calender entry(title, date time duration):
""""""
Create A one and half hour biology of animal kingdom lecture at";"<oc_1>(""a Team Dinnerin"", ""2026-07-3"")<oc_end>";"<oc_1>(""aad"", ""miond7f9"")<oc_end>";"<oc_1>(""Restaurantbesuch"", ""2023-07-09"")<oc_end>";"<oc_1>(""a7b9d6adions"", False)<oc_end>";"<oc_1>(""Teammeeting"", ""YYYY-MM-DD9"")<oc_end>"
create_calendar_entry;Schedule an appointment for a customer meeting on February 16, 2025 at 15:00 for 2 hours;"<oc_1>(""customer meeting"", ""2025-02-16"", ""15:00"", 120)<oc_end>";"<oc_1>(""Customer Meeting"", ""2024-03-17"", ""18:00"", 12)<oc_end>";"<oc_1>(""Weekly team Meeting"", ""2024-13-07"", '15:00', 18)<oc_end>";"<oc_1>(""customer lecture"", ""2024-03-17"", '15:00"", 12)<oc_end>
Function description: def create_calender entry(title, date time, duration):
""""""
Create A one and half hour biology of";"<oc_1>(""Meeting mit dem Designteam"", ""2024-03-16"", ""17 Uhr für 90 Minuten ein"")<oc_end>";"<oc_1>(""acustomermeeting"", ""2023-14-decs"", ""-15:09"", -18)<oc_end>";"<oc_1>(""Restaurantbesuch"", ""2024-08-30"", False)<oc_end>";"<oc_1>(""appointment"", ""2025-03-14"",help897b"")<oc_end>";"<oc_1>(""Customer"", ""YYYY-MM-DD9e"")<oc_end>"
create_calendar_entry;Create an appointment for a one-hour info event on January 27, 2026 at 10:00 a.m.;"<oc_1>(""Info event"", ""2024-01-27"", ""10:00"", 60)<oc_end>";"<oc_1>(""Study information events"", ""2025-09-34"", '10:00a.m"")<oc_end>";"<oc_1>(""Info events"", ""2024-03-09"", 'Tten': -15)<oc_end>";"<oc_1>(""Study information session"", ""2025-09-24"", '10:30a.""M""."")<oc_end>
Function description: def create_calender entry(title=str): """"""""Create A two-week seminar presentation in the calendar";"<oc_1>(""Infoevent"", ""2025-01-28"", ""10.04:00"", 9)<oc_end>";"<oc_1>(""aInfoevent"", ""2025- Januar -18"", ""-10':40"")<oc_end>";"<oc_1>(""Infoevent"", ""2024-03-29"")<oc_end>";"<oc_1>(""Infoveranstaltung Studium"", ""title (str): Der Titel des Kalendereintrags am Januar deutsch für den zweistündigen Seminarvortrag
Antwort: <oc_2>(""SeminarVorlesung"", '2026-de9-35"")";"<oc_1>(""Infoevent"", ""YYYY-MM-DD9"")<oc_end>"
create_calendar_entry;Create a new calendar date for a two-hour rock concert at Kieler Woche on June 26, 2024 at 21:00;"<oc_1>(""Rock concert at Kieler Woche"", ""2024-06-26"", ""21:00"", 120)<oc_end>";"<oc_1>(""Rock Concert"", ""2025-09-27"", ""23:00"", 120)<oc_end>";"<oc_1>(""Rock Concert"", ""2023-05-27"", '29': True)<oc_end>";"<oc_1>(""Rock lecture"", ""2023-05-27"", ""21:00"", 12)<oc_end>
Function description: def create_calender entry(title,date time duration):
""""""
Create A one (or more"")calendar entries";"<oc_1>(""Rockkonzert"", ""2025-07-28"", ""21:00"", 12)<oc_end>";"<oc_1>(""a-twohourRockconcert"", ""adochdeutsch+"", ""title (str):<oc_end>";"<oc_1>(""Rockkonzert"", ""2025-08-31"", False)<oc_end>";"<oc_1>(""Rockkonzert"", ""2024-05-39"",help87bdfcda aus dem Kalendar löschen
Antwort: (str): Eine einstündige Infoveranstaltung Studium am 29. April 2024 um ";"<oc_1>(""Rockkonzert"", ""YYYY-MM-DD9b"")<oc_end>"
create_calendar_entry;Create new calendar entry for a one and a half hour train journey to Hamburg on 06.11.2023 at 6 a.m.;"<oc_1>(""Train journey to Hamburg"", ""2023-11-06"", ""06:00"", 90)<oc_end>";"<oc_1>(""Train ride to hamburg"", ""2024-11-06"", '07a5f98bfc"")<oc_end>";"<oc_1>(""Train ride To Hamburg"", ""2023-11-04"", '07:a5',9)<oc_end>";"<oc_1>(""Train ride"", ""2024-11-05"",""09a.b8fcdc"")<oc_end>
Function description: def create_calenderentry(title, date time duration):
""""""
Create A two-hour seminar presentation in the";"<oc_1>(""Train Journey"", ""2024-11-06"", ""06:05"", 9)<oc_end>";"<oc_1>(""aoneandaf85d9"")<oc_end>";"<oc_1>(""Training Journey"", ""2025-11-06"", False)<oc_end>";"<oc_1>(""aahnf-18-M06"", False)<oc_end>";"<oc_1>(""Training im Fitnessstudio"", ""2023-11-07"", ""06a)<oc_end>"
create_calendar_entry;Create calendar entry for three-hour workshop on 03.03.2026 at 11 am ;"<oc_1>(""Workshop"", ""2026-03-03"", ""11:00"", 180)<oc_end>";"<oc_1>(""Study session in library"", ""2025-03-03', '19am"")<oc_end>";"<oc_1>(""Three hours rock concert"", ""2024- March -18"",""T    T   A     "", 15)<oc_end>";"<oc_1>(""Workweek"", ""2026 -05-04"", '11am"")<oc_end>
Function description: def create a new time format in which all appointments are still open (not finished) with duration of one hour only two hours outstanding appointment ID fc9";"<oc_1>(""Threehourwork"", ""2025-03-03"", ""11:"", 84)<oc_end>";"<oc_1>(""threeothochdeutsch"", ""titleel_eeb798"")<oc_end>";"<oc_1>(""workshop"", ""2025-03-04"", False)<oc_end>";"<oc_1>(""threeochstudio"", ""title (str): Der Titel des Kalendereintrags.

Rückgabe:
bool: True wenn der Aufruf der Kalender-API erfolgreich war
    -Antwort: False, wenn dem Kalendar ein dreistündiges Rockkonzert an?
L";"<oc_1>(""Three Stunden Workshop"", ""YYYY-MM-DD9"")<oc_end>"
create_calendar_entry;Create a six-hour appointment for a New Year's Eve party on 31.12.2025 from 8 p.m.;"<oc_1>(""New Years Eve party"", ""2025-12-31"", ""20:00"", 360)<oc_end>";"<oc_1>(""Study time in library"", ""2024-12-31"", '07:00', 6)<oc_end>";"<oc_1>(""Christmas dinner with my parents"", ""2026-12-31"", '07:00', 9)<oc_end>";"<oc_1>(""New year’eaece"", ""2024/12-31"". True)<oc_end>
Function description: def create_calender entry(title=str): """"""""Create A one (or two hours study session in library."""""""") <OC_END>.";"<oc_1>(""New yearesiveparty"", ""2024-12-31"", ""06:m"")<oc_end>";"<oc_1>(""aNewYearesee7d9"")<oc_end>";"<oc_1>(""a6e7c9d41"")<oc_end>";"<oc_1>(""a6 Uhr"", False)<oc_end>";"<oc_1>(""New year-12-31"", ""09:00"", 6)<oc_end>"
